autor,titulo,abandonos,relendo,querem_ler,lendo,leram,genero_literario,genero,grau_popularidade
Belinda Starling,O Diário de Dora Damage,1,0,60,4,19,Suspense,Feminino,Baixa
André Vianco,O Caso Laura,39,2,1,55,2,Suspense,Feminino,Baixa
Sara Shepard,Perfeitas,107,3,3,158,7,Suspense,Feminino,Baixa
Sara Shepard,Inacreditáveis,78,3,3,112,6,Suspense,Feminino,Baixa
Sara Shepard,Perversas,67,3,3,92,4,Suspense,Feminino,Baixa
Tana French,Dentro do Espelho,1,0,240,9,52,Suspense,Feminino,Baixa
Sara Shepard,Destruidoras,28,1,3,71,4,Suspense,Feminino,Baixa
John Grisham,A Firma,26,1,1,71,2,Suspense,Feminino,Baixa
Katherine Neville,O Enigma do Oito,100,2,1,93,1,Suspense,Feminino,Baixa
Josh Bazell,Sinuca de Bico,3,0,42,0,40,Suspense,Feminino,Baixa
Sara Shepard,Maldosas,357,26,5,443,14,Suspense,Feminino,Baixa
Michael Crichton,Latitudes Piratas,3,0,201,0,107,Suspense,Feminino,Baixa
Janet Evanovich,Duas Vidas Por Um Fio,0,0,107,1,57,Suspense,Feminino,Baixa
James Patterson,3º Grau,1,2,911,17,615,Suspense,Feminino,Baixa
Guillermo del Toro,A Queda,26,3,1,72,1,Suspense,Feminino,Baixa
Michael Crichton,Latitudes Piratas,0,0,1,0,1,Suspense,Feminino,Baixa
Neil Gaiman,Coraline : Graphic Novel,204,68,27,1,33,Suspense,Feminino,Baixa
Ruth Rendell,Vamos Passear no Bosque,4,0,60,0,29,Suspense,Feminino,Baixa
Guillermo del Toro,Noturno,208,5,2,214,3,Suspense,Feminino,Baixa
Kate Morton,O Jardim Secreto de Eliza,12,1,2,42,685,Suspense,Feminino,Baixa
James Patterson,2ª Chance,4,0,875,17,699,Suspense,Feminino,Baixa
Robert Ludlum,A Identidade Bourne,43,1,734,68,1,Suspense,Feminino,Baixa
Anne Rice,A Hora das Bruxas,268,19,4,241,4,Suspense,Feminino,Baixa
Sandra Brown,O Álibi,9,0,261,14,363,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e as Relíquias da Morte,715,688,101,2,320,Suspense,Feminino,Baixa
James Patterson,1º a Morrer,12,0,1,21,1,Suspense,Feminino,Baixa
James Patterson,Um Desafio para Cross,5,0,512,5,362,Suspense,Feminino,Baixa
Gillian Flynn,Na Própria Carne,200,11,17,718,19,Suspense,Feminino,Baixa
chris priestley,Contos de Terror do Tio Montague,0,0,41,1,13,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e as Relíquias da Morte,715,688,101,2,320,Suspense,Feminino,Baixa
Sandra Brown,Calafrio,3,1,665,5,505,Suspense,Feminino,Baixa
Philip K. Dick,O Caçador de Andróides,14,4,1,56,1,Suspense,Feminino,Baixa
Max Mallmann,Síndrome de quimera,0,0,35,0,59,Suspense,Feminino,Baixa
Eva Ibbotson,Jornada pelo Rio Mar,19,1,101,23,463,Suspense,Feminino,Baixa
Julian Barnes ,Arthur & George,0,0,44,0,43,Suspense,Feminino,Baixa
Júlio Verne,A Ilha Misteriosa,141,13,4,224,4,Suspense,Feminino,Baixa
José Flávio Morais,Sete Contos de Arrepiar,0,0,7,0,11,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e o Enigma do Príncipe,606,481,99,2,326,Suspense,Feminino,Baixa
David Baldacci,Por Uma Fração de Segundo,0,0,131,2,70,Suspense,Feminino,Baixa
Diane Hoh,A Voz no Espelho,0,0,47,1,144,Suspense,Feminino,Baixa
Diane Hoh,O Livro dos Horrores,2,0,68,1,134,Suspense,Feminino,Baixa
Robert Ludlum,A Supremacia Bourne,7,1,424,13,435,Suspense,Feminino,Baixa
Jane Dunn,Elizabeth & Mary,0,0,241,7,37,Suspense,Feminino,Baixa
Diane Hoh,O Sussurro,3,0,55,1,97,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e a Ordem da Fênix,1,629,94,4,327,Suspense,Feminino,Baixa
R. L. Stine,Fim de Semana Alucinante,2,0,112,0,303,Suspense,Feminino,Baixa
Neil Gaiman,Coraline,204,68,27,1,33,Suspense,Feminino,Baixa
Diane Hoh,O Sequestro,2,0,40,1,102,Suspense,Feminino,Baixa
Paulo Coelho,O Demônio e a Srta. Prym,317,17,1,95,15,Suspense,Feminino,Baixa
John Grisham,Contos Legais,2,0,16,1,17,Suspense,Feminino,Baixa
Daniel Silva,O Artista da Morte,1,0,258,7,109,Suspense,Feminino,Baixa
Sandro Veronesi,A força do passado,0,0,11,0,3,Suspense,Feminino,Baixa
R. L. Stine,Não se esqueça de mim!,1,1,59,1,87,Suspense,Feminino,Baixa
James McKean,Quattrocento,2,0,47,2,14,Suspense,Feminino,Baixa
R. L. Stine,Festa de Halloween,4,0,137,1,585,Suspense,Feminino,Baixa
Diane Hoh,O Grito Silencioso,3,1,50,3,222,Suspense,Feminino,Baixa
Diane Hoh,Atração Fatal,1,1,38,0,142,Suspense,Feminino,Baixa
Michael Crichton,Um caso de necessidade,1,0,64,1,113,Suspense,Feminino,Baixa
Joseph Finder,Crimes em Primeiro Grau,4,1,88,4,93,Suspense,Feminino,Baixa
Sandra Brown,A Troca,1,0,144,1,207,Suspense,Feminino,Baixa
Joy Fielding,DESAFIO MORTAL,0,0,15,1,21,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e o Cálice de Fogo,1,700,86,4,350,Suspense,Feminino,Baixa
Ken Follett,Código Explosivo,7,1,1,30,801,Suspense,Feminino,Baixa
Diane Hoh,A Iniciação,0,0,51,3,147,Suspense,Feminino,Baixa
Diane Hoh,Desejos Macabros,3,2,52,0,197,Suspense,Feminino,Baixa
Daniel Silva,A Temporada das Marchas,1,0,61,1,49,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e a Câmara Secreta,954,762,40,4,400,Suspense,Feminino,Baixa
Robert Ludlum,A Identidade Bourne,43,1,734,68,1,Suspense,Feminino,Baixa
Diane Hoh,Lição de Morte,0,0,47,1,171,Suspense,Feminino,Baixa
Diane Hoh,A Verdade ou a Morte,1,0,65,1,223,Suspense,Feminino,Baixa
J.K. Rowling ,Harry Potter e o Prisioneiro de Azkaban,737,609,58,3,376,Suspense,Feminino,Baixa
Diane Hoh,A Sonâmbula,3,1,52,2,259,Suspense,Feminino,Baixa
Diane Hoh,Bela Gentileza,2,1,46,1,245,Suspense,Feminino,Baixa
William Boyd,Armadilho,1,0,11,0,10,Suspense,Feminino,Baixa
John Grisham,O Testamento,36,0,596,29,1,Suspense,Feminino,Baixa
Daniel Silva,A Marca do Assassino,4,0,142,4,86,Suspense,Feminino,Baixa
John Grisham,O Advogado,99,3,1,124,3,Suspense,Feminino,Baixa
Robert Ludlum,O Círculo Matarese,4,0,78,6,176,Suspense,Feminino,Baixa
John Grisham,O Sócio,26,3,550,29,1,Suspense,Feminino,Baixa
Gore Vidal,1876,0,0,17,0,21,Suspense,Feminino,Baixa
John Grisham,O Dossiê Pelicano,33,1,800,37,2,Suspense,Feminino,Baixa
Valerie Martin,Mary Reilly,2,0,42,4,54,Suspense,Feminino,Baixa
Anne Rice,O Servo dos Ossos,48,2,809,19,1,Suspense,Feminino,Baixa
Mary Higgins Clark,Vejo Vocês em Breve,8,0,212,7,332,Suspense,Feminino,Baixa
Sara Paretsky,Anjo da Guarda,2,0,9,0,13,Suspense,Feminino,Baixa
Diane Hoh,Prisioneiras,0,0,49,1,76,Suspense,Feminino,Baixa
Anne Rice,A Hora das Bruxas,268,19,4,241,4,Suspense,Feminino,Baixa
Joy Fielding,Jane Precisa de Ajuda,0,0,76,2,54,Suspense,Feminino,Baixa
Diane Hoh,O Monstro,1,0,30,1,42,Suspense,Feminino,Baixa
John Grisham,A Firma,26,1,1,71,2,Suspense,Feminino,Baixa
Robert Ludlum,O Ultimato Bourne,7,0,425,5,348,Suspense,Feminino,Baixa
James A. Michener,O Romance,0,0,19,1,10,Suspense,Feminino,Baixa
Ken Follett,Os Pilares da Terra,174,17,8,822,6,Suspense,Feminino,Baixa
Agota Kristof,A prova,0,0,3,0,3,Suspense,Feminino,Média
Margaret Drabble,A Geração do Meio,1,0,4,0,4,Suspense,Feminino,Baixa
John Updike,O Sabá das Feiticeiras,6,0,63,5,94,Suspense,Feminino,Baixa
Agota Kristof,A prova,0,0,3,0,3,Suspense,Feminino,Média
Agota Kristof,A prova,0,0,3,0,3,Suspense,Feminino,Média
Agatha Christie,Assassinato no expresso oriente,0,0,7,2,5,Suspense,Feminino,Baixa
Uranio Bonoldi,A Contrapartida,10,1,1,35,206,Suspense,Feminino,Baixa
Robert Beatty,Serafina e a Capa Preta,12,1,2,48,713,Suspense,Feminino,Baixa
Jennifer L. Armentrout,Ônix,49,12,1,157,4,Suspense,Feminino,Baixa
FML Pepper,Não Pare!,283,37,12,405,11,Suspense,Feminino,Baixa
FML Pepper,Não Olhe!,98,8,6,222,7,Suspense,Feminino,Baixa
Leigh Bardugo,Nona Casa,18,1,2,153,343,Suspense,Feminino,Baixa
Dot Hutchison,Rosas de Maio,1,0,637,30,306,Suspense,Feminino,Baixa
Karen Cleveland,Preciso Saber,1,0,973,19,201,Suspense,Feminino,Baixa
Mary Kubica,"Não Chore, Não",16,1,1,23,341,Suspense,Feminino,Baixa
Florencia Etcheves,Cornelia,0,0,1,1,0,Suspense,Feminino,Baixa
Florencia Etcheves,Errantes,0,0,1,0,0,Suspense,Feminino,Baixa
Rodrigo de Oliveira,Os Filhos da Tempestade,2,3,1,19,252,Suspense,Feminino,Baixa
Mary Kubica,A Desconhecida,6,0,1,20,457,Suspense,Feminino,Baixa
Alix Christie,O Aprendiz de Gutenberg,1,0,152,5,19,Suspense,Feminino,Baixa
Dot Hutchison,O Jardim das Borboletas,23,1,4,106,2,Suspense,Feminino,Baixa
Mary Kubica,A Garota Perfeita,68,1,4,90,2,Suspense,Feminino,Baixa
Jeff Lindsay,DEXTER,224,12,5,407,11,Suspense,Feminino,Baixa
Blake Crouch,Pines,7,1,884,43,738,Suspense,Feminino,Baixa
Rubem Alves,Perguntaram-me Se Acredito Em Deus,7,2,337,25,561,Suspense,Feminino,Baixa
Jeff Lindsay,Dexter Está Morto,4,0,1,29,603,Suspense,Feminino,Baixa
Hugh Laurie,O Vendedor de Armas,314,8,1,266,4,Suspense,Feminino,Baixa
Roger Franchini,Matar Alguém,0,1,92,7,55,Suspense,Feminino,Baixa
Dan Brown,Inferno,1,58,23,2,45,Suspense,Feminino,Baixa
Jeff Lindsay,Dexter em Cena,5,1,2,56,1,Suspense,Feminino,Baixa
Jesse Lasky,Revenge - Treinamento Para Vingança,19,1,738,26,539,Suspense,Feminino,Baixa
Carmen Posadas,As moscas azuis,5,0,45,6,25,Suspense,Feminino,Baixa
Camilla Läckberg,O Estranho,1,0,449,13,369,Suspense,Feminino,Baixa
Jeff Lindsay,Duplo Dexter,17,3,3,81,1,Suspense,Feminino,Baixa
Jeff Lindsay,Dexter: A mão esquerda de Deus,224,12,5,407,11,Suspense,Feminino,Baixa
Richard Dübell,A Bíblia do diabo,14,2,402,28,128,Suspense,Feminino,Baixa
Jeff Lindsay,Dexter: Design de um Assassino,31,2,3,83,3,Suspense,Feminino,Baixa
Camilla Läckberg,Gritos do Passado,5,0,560,17,583,Suspense,Feminino,Baixa
David Gibbins,Guerreiro Tigre,23,1,237,12,130,Suspense,Feminino,Baixa
Börge Hellström,Redenção,2,0,71,6,61,Suspense,Feminino,Baixa
Jeff Lindsay,Dexter é Delicioso,14,0,3,80,2,Suspense,Feminino,Baixa
Zafón,O Príncipe da Neblina,40,7,4,208,7,Suspense,Feminino,Baixa
Camilla Läckberg,O Cortador de Pedras,3,2,534,15,547,Suspense,Feminino,Baixa
Robert Browne,A Profecia do Paraíso,5,0,100,9,160,Suspense,Feminino,Baixa
Hugh Laurie,O Vendedor de Armas,314,8,1,266,4,Suspense,Feminino,Baixa
Jeff Lindsay,Dexter no Escuro,57,2,4,150,4,Suspense,Feminino,Baixa
James Reese,Dôssie Drácula,47,0,219,21,171,Suspense,Feminino,Baixa
Camilla Läckberg,A Princesa de Gelo,25,1,1,35,1,Suspense,Feminino,Baixa
Dmitry Glukhovsky,Metrô 2033,68,4,1,116,919,Suspense,Feminino,Baixa
Jeff Lindsay,Querido e Devotado Dexter,63,7,3,171,6,Suspense,Feminino,Baixa
David Gibbins,O Último Evangelho,10,1,246,6,146,Suspense,Feminino,Baixa
Jeff Lindsay,Dexter: A Mão Esquerda de Deus,224,12,5,407,11,Suspense,Feminino,Baixa
Rubem Alves,Perguntaram-me se Acredito em Deus,7,2,337,25,561,Suspense,Feminino,Baixa
Raphael Draccon,Caçadores de Bruxas,662,28,10,823,11,Suspense,Feminino,Baixa
Guillermo Martínez,Sobre Roderer,0,0,4,1,8,Suspense,Feminino,Baixa
Giulio Leoni,Os Crimes do Mosaico,129,2,415,41,1,Suspense,Feminino,Baixa
Paulo Coelho,O Demônio e a Srta. Prym,317,17,1,95,15,Suspense,Feminino,Baixa
Ian Caldwell,O Enigma do Quatro,319,2,549,68,2,Suspense,Feminino,Baixa
Stephen King,Os Justiceiros,48,2,1,26,1,Suspense,Feminino,Baixa
Júlio Verne,Os Filhos do Capitão Grant,1,0,10,0,5,Suspense,Feminino,Média
Stephen King,À Espera de um Milagre,244,12,10,344,12,Suspense,Feminino,Baixa
Stephen King,Desespero,168,6,3,245,4,Suspense,Feminino,Baixa
Stephen King,A Coisa,1,127,47,7,27,Suspense,Feminino,Baixa
Stephen King,Quatro Estações,113,3,4,398,5,Suspense,Feminino,Baixa
Stephen King,Tripulação de Esqueletos,88,4,3,337,3,Suspense,Feminino,Baixa
Stephen King,A Maldição do Cigano,145,5,3,175,6,Suspense,Feminino,Baixa
Stephen King,O Cemitério,381,21,15,950,19,Suspense,Feminino,Baixa
Rubem Fonseca,A Grande Arte,45,2,637,49,1,Suspense,Feminino,Baixa
Paul Auster,A Trilogia de Nova Iorque,46,0,1,61,907,Suspense,Feminino,Baixa
Stephen King,Tudo É Eventual,85,3,2,270,2,Suspense,Feminino,Baixa
Stephen King,Rose Madder ,60,0,2,108,2,Suspense,Feminino,Baixa
Stephen King,Christine,246,9,5,244,8,Suspense,Feminino,Baixa
Stephen King,Os Olhos Do Dragão,90,3,2,134,4,Suspense,Feminino,Baixa
Stephen King,A Casa Negra,115,4,3,131,2,Suspense,Feminino,Baixa
Peter Straub,O Talismã,170,9,3,188,2,Suspense,Feminino,Baixa
Stephen King,Desespero,1,0,31,0,48,Suspense,Feminino,Baixa
Stephen King,O Iluminado,928,98,28,2,38,Suspense,Feminino,Baixa
José Geraldo Vieira,A ladeira da memória,2,0,219,12,68,Suspense,Feminino,Baixa
Donna Tartt,A História Secreta,26,4,1,130,1,Suspense,Feminino,Baixa
Júlio Verne,A jangada,16,0,278,9,265,Suspense,Feminino,Baixa
José Geraldo Vieira,A Ladeira da Memória,2,0,219,12,68,Suspense,Feminino,Baixa
Pierre Lemaitre,Bodas de sangue,2,0,344,7,127,Suspense,Feminino,Baixa
Pierre Lemaitre,Recursos Desumanos,3,1,134,4,40,Suspense,Feminino,Baixa
Robert Bryndza,Segredos Mortais,1,0,708,14,163,Suspense,Feminino,Baixa
Lisa Gardner,A Garota Desaparecida,9,3,1,39,620,Suspense,Feminino,Baixa
Kanae Minato,Confissões,9,0,1,62,1,Suspense,Feminino,Baixa
Angela Marsons,Jogos malignos,2,2,362,5,230,Suspense,Feminino,Baixa
Robert Bryndza,Sangue Frio,1,0,791,24,537,Suspense,Feminino,Baixa
Riley Sager,A última mentira que contei,4,1,594,14,246,Suspense,Feminino,Baixa
Kristina Ohlsson,Silenciadas,4,1,424,13,255,Suspense,Feminino,Baixa
Kristina Ohlsson,Indesejadas,9,0,788,15,529,Suspense,Feminino,Baixa
Kanae Minato,Penitência,2,0,388,7,257,Suspense,Feminino,Baixa
Kristina Ohlsson,Desaparecidas,3,0,380,6,239,Suspense,Feminino,Baixa
Lisa Gardner,Bem atrás de você,27,0,1,59,1,Suspense,Feminino,Baixa
Robert Bryndza,Sob águas escuras,5,0,1,39,1,Suspense,Feminino,Baixa
Angela Marsons,Gritos no silêncio,11,0,1,21,783,Suspense,Feminino,Baixa
Robert Bryndza,O último suspiro,4,2,1,26,910,Suspense,Feminino,Baixa
Guillaume Prévost,Leonardo da Vinci e os sete crimes de Roma,0,0,106,1,33,Suspense,Feminino,Baixa
Nancy Springer,O Caso do Marquês Desaparecido,8,1,2,52,521,Suspense,Feminino,Baixa
Courtney Cole,Verum,1,0,161,5,62,Suspense,Feminino,Baixa
Karen Dionne,A Filha do Rei do Pântano,25,0,1,56,1,Suspense,Feminino,Baixa
Gustavo Ávila,Quando a luz apaga,6,0,1,44,297,Suspense,Feminino,Baixa
Courtney Cole,Nocte,1,0,588,10,234,Suspense,Feminino,Baixa
Gustavo Ávila,O Sorriso da Hiena,66,0,8,258,6,Suspense,Feminino,Baixa
Federico Axat,Mate o Próximo,14,0,941,34,405,Suspense,Feminino,Baixa
Megan Miranda,Todas as Garotas Desaparecidas,50,2,2,56,1,Suspense,Feminino,Baixa
Megan Miranda,Todas as Garotas Desaparecidas,50,2,2,56,1,Suspense,Feminino,Baixa
Robert Ovies,O Dom,14,0,676,18,229,Suspense,Feminino,Baixa
Hans Koppel,Não Voltarás,17,0,900,27,779,Suspense,Feminino,Baixa
Agatha Christie,O Cavalo Amarelo,31,3,2,47,3,Suspense,Feminino,Baixa
Agatha Christie,Punição Para A Inocência,44,5,3,148,4,Suspense,Feminino,Baixa
Agatha Christie,Assassinato no Expresso do Oriente,649,51,19,1,78,Suspense,Feminino,Baixa
Agatha Christie,Um Corpo na Biblioteca,202,13,6,432,16,Suspense,Feminino,Baixa
Frances Hodgson Burnett,O Jardim Secreto,184,38,8,573,12,Suspense,Feminino,Baixa
Daniel Silva,A Herdeira,2,0,65,7,83,Suspense,Feminino,Baixa
J. R. R. Tolkien ,Contos Inacabados,593,27,15,808,8,Suspense,Feminino,Baixa
Agatha Christie,Os Quatro Grandes,35,3,1,64,5,Suspense,Feminino,Baixa
Agatha Christie,Um Mistério no Caribe,50,8,2,84,5,Suspense,Feminino,Baixa
Arthur Conan Doyle,Dossiê,0,0,4,1,2,Suspense,Feminino,Baixa
Karin Slaughter,A Esposa Silenciosa,0,0,1,21,93,Suspense,Feminino,Baixa
Joe Hill,Nosferatu,59,4,3,231,2,Suspense,Feminino,Baixa
Agatha Christie,A Noite das Bruxas,168,9,2,169,8,Suspense,Feminino,Baixa
Agatha Christie,Os Crimes ABC,188,9,5,385,17,Suspense,Feminino,Baixa
Agatha Christie,Passageiro para Frankfurt,127,4,1,39,3,Suspense,Feminino,Baixa
Karin Slaughter,Ninguém Pode Saber,12,0,2,41,472,Suspense,Feminino,Baixa
Daniel Silva,A Outra Mulher,1,0,564,9,48,Suspense,Feminino,Baixa
Joe Hill,Tempo Estranho,4,1,533,21,184,Suspense,Feminino,Baixa
Maureen Johnson,Cordialmente Cruel,14,0,1,51,480,Suspense,Feminino,Baixa
Karin Slaughter,A Última Viúva,3,0,1,38,485,Suspense,Feminino,Baixa
David Koepp,Contágio,0,0,171,10,59,Suspense,Feminino,Baixa
Agatha Christie,Nêmesis,47,3,2,98,4,Suspense,Feminino,Baixa
Aimee Molloy,A Mãe Perfeita,3,0,329,23,141,Suspense,Feminino,Baixa
Mick Finlay,Arrowood,1,0,627,6,35,Suspense,Feminino,Baixa
Liv Constantine,A Outra Sra. Parrish,11,1,2,47,1,Suspense,Feminino,Baixa
Lisa Scottoline,Uma Mentira Perfeita,2,0,1,18,243,Suspense,Feminino,Baixa
Daniel Silva,Casa de Espiões,1,1,738,6,39,Suspense,Feminino,Baixa
Sara Shepard,As Elizas,13,1,1,14,210,Suspense,Feminino,Baixa
Karin Slaughter,A Boa Filha,58,3,2,127,2,Suspense,Feminino,Baixa
Kami Garcia,Agente do Caos,1,1,996,9,129,Suspense,Feminino,Baixa
Jonathan Maberry,Advogado do Diabo,4,1,1,18,152,Suspense,Feminino,Baixa
Daniel Silva,A Viúva Negra,2,0,912,10,123,Suspense,Feminino,Baixa
 Anna Snoekstra ,Única Filha,21,3,3,44,1,Suspense,Feminino,Baixa
Claudia Gray,Um Milhão de Mundos Com Você,8,1,2,38,900,Suspense,Feminino,Baixa
Karin Slaughter,Esposa Perfeita,28,1,3,63,907,Suspense,Feminino,Baixa
Sheena Kamal,Aqueles Que Perdemos,7,0,1,8,90,Suspense,Feminino,Baixa
Karin Slaughter,Flores Partidas,57,2,5,224,3,Suspense,Feminino,Baixa
Agatha Christie,A Extravagância do Morto,22,6,1,58,5,Suspense,Feminino,Baixa
Agatha Christie,Poirot Perde Uma Cliente,16,1,1,33,4,Suspense,Feminino,Baixa
Agatha Christie,Assassinato na Casa do Pastor,73,2,2,138,8,Suspense,Feminino,Baixa
Agatha Christie,Um Pressentimento Funesto,29,1,1,35,3,Suspense,Feminino,Baixa
Agatha Christie,A Casa Torta,55,9,3,112,8,Suspense,Feminino,Baixa
Agatha Christie,Assassinato no Expresso do Oriente,649,51,19,1,78,Suspense,Feminino,Baixa
Sir Arthur Conan Doyle,Box - Sherlock Holmes - 4 Volumes,15,8,2,475,776,Suspense,Feminino,Baixa
Wesley Snipes,O Caçador de Demônios,2,1,912,8,49,Suspense,Feminino,Baixa
Arthur Conan Doyle,Sherlock Holmes - Volume 1,9,1,279,139,272,Suspense,Feminino,Baixa
Dolores Redondo,Offering to the storm,0,0,1,0,0,Suspense,Feminino,Média
Tess Gerritsen,O Fio do Bisturi,10,0,966,36,1,Suspense,Feminino,Baixa
James Grippando,Uma Mulher Perfeita,13,1,438,29,335,Suspense,Feminino,Baixa
Daniel Silva,O Caso Caravaggio ,1,0,283,14,232,Suspense,Feminino,Baixa
Alyson Noël,Inigualável ,16,0,583,38,282,Suspense,Feminino,Baixa
Karin Slaughter,Flores Partidas,57,2,5,224,3,Suspense,Feminino,Baixa
Agatha Christie,"Box Coleção Agatha Christie: Hora Zero, O natal de Poirot, Treze à mesa",1,0,271,3,32,Suspense,Feminino,Baixa
Sophie Hannah,Caixão Fechado,2,0,457,7,245,Suspense,Feminino,Baixa
Agatha Christie,O Mistério dos Sete Relógios,74,2,2,144,8,Suspense,Feminino,Baixa
Agatha Christie,A Maldição do Espelho,72,4,2,110,7,Suspense,Feminino,Baixa
Agatha Christie,Cem Gramas de Centeio,24,5,2,73,5,Suspense,Feminino,Baixa
Agatha Christie,Os Crimes ABC,188,9,5,385,17,Suspense,Feminino,Baixa
Agatha Christie,Cem Gramas de Centeio,24,5,2,73,5,Suspense,Feminino,Baixa
Agatha Christie,Box Coleção Agatha Christie,2,0,491,17,155,Suspense,Feminino,Baixa
Agatha Christie,Box Coleção Agatha Christie,3,1,527,8,141,Suspense,Feminino,Baixa
Agatha Christie,Nêmesis (Nemesis),47,3,2,98,4,Suspense,Feminino,Baixa
William Peter Blatty,A Nona Configuração,44,1,666,33,892,Suspense,Feminino,Baixa
Jane Shemilt,A Filha,12,1,514,18,448,Suspense,Feminino,Baixa
Sophie Cleverly,Scarlet and Ivy - The Whispers in the Walls,0,0,2,0,1,Suspense,Feminino,Baixa
Sophie Hannah,Os Crimes do Monograma,52,2,814,93,1,Suspense,Feminino,Baixa
Agatha Christie,Assassinato no Expresso do Oriente,649,51,19,1,78,Suspense,Feminino,Baixa
Agatha Christie,Um Corpo na Biblioteca,202,13,6,432,16,Suspense,Feminino,Baixa
Agatha Christie,Os Elefantes Não Esquecem,156,13,5,258,18,Suspense,Feminino,Baixa
Agatha Christie,Morte na Mesopotâmia,98,10,4,222,14,Suspense,Feminino,Baixa
Agatha Christie,A Mansão Hollow,180,14,4,234,14,Suspense,Feminino,Baixa
Agatha Christie,Box Coleção Agatha Christie,5,2,808,59,588,Suspense,Feminino,Baixa
Agatha Christie,Box Coleção Agatha Christie,1,1,609,37,401,Suspense,Feminino,Baixa
Agatha Christie,Os Trabalhos de Hércules,65,3,2,93,4,Suspense,Feminino,Baixa
Agatha Christie,O Mistério dos Sete Relógios,74,2,2,144,8,Suspense,Feminino,Baixa
Dana Mele,Garotas Como Nós,19,3,1,31,323,Suspense,Feminino,Baixa
Kerry Lonsdale,Tudo o que deixamos para trás,0,0,158,2,26,Suspense,Feminino,Baixa
Joe Books,Gravity Falls: Ao Esquisito e Além,0,0,134,2,14,Suspense,Feminino,Baixa
Kerry Lonsdale,Tudo O Que Restou,1,0,750,12,131,Suspense,Feminino,Baixa
J. R. Ward ,A Ladra,6,2,2,42,834,Suspense,Feminino,Baixa
Laurann Dohner,Valiant,6,10,338,11,2,Suspense,Masculino,Baixa
Patrick Lee,Runner,3,0,269,4,104,Suspense,Feminino,Baixa
Serena Valentino,A Mais Bela de Todas,29,6,3,93,1,Suspense,Feminino,Baixa
James Ellroy,Irene,7,2,233,17,190,Suspense,Feminino,Baixa
Scott McEwen,Sniper de Elite,1,1,161,13,115,Suspense,Feminino,Baixa
Danilo Barbosa,Arma de Vingança,3,0,1,19,515,Suspense,Feminino,Baixa
Tony Ferraz,O Artífice,10,1,331,14,227,Suspense,Feminino,Baixa
J. R. Ward ,Fascínio,5,1,653,12,329,Suspense,Feminino,Baixa
J. R. Ward ,Inveja,7,0,1,22,665,Suspense,Feminino,Baixa
J. R. Ward ,Cobiça,92,1,2,91,1,Suspense,Feminino,Baixa
J. R. Ward ,Desejo,19,2,1,26,1,Suspense,Feminino,Baixa
Janethe Fontes,Vítimas do Silêncio,2,2,537,12,372,Suspense,Feminino,Baixa
Curt Sutherly,UFOs,5,0,40,6,50,Suspense,Feminino,Baixa
Sir Arthur Conan Doyle,O Cão dos Baskervilles,324,33,5,415,30,Suspense,Feminino,Baixa
Kimberly Knight,Observe-me,0,5,638,34,28,Suspense,Feminino,Baixa
Penelope Douglas,Corrupt,15,1,404,18,594,Suspense,Feminino,Baixa
Penelope Douglas,Hideaway,0,0,249,6,52,Suspense,Feminino,Baixa
Bram Stoker,Drácula,1,101,19,2,31,Suspense,Feminino,Baixa
Mary Shelley,Frankenstein,405,48,17,1,24,Suspense,Feminino,Baixa
Silmara Izidoro,A Escolha,2,0,436,27,26,Suspense,Feminino,Baixa
Silmara Izidoro,A Escolha,2,0,436,27,26,Suspense,Feminino,Baixa
Silmara Izidoro,A última vítima,0,0,54,3,38,Suspense,Feminino,Baixa
Lynda Throsby,Catfish,3,1,271,5,55,Suspense,Feminino,Baixa
Sir Arthur Conan Doyle,As Aventuras de Sherlock Holmes,197,23,5,828,13,Suspense,Feminino,Baixa
Sir Arthur Conan Doyle,A Volta de Sherlock Holmes,25,6,2,112,5,Suspense,Feminino,Baixa
H. G. Wells,O Homem Invisível,83,6,4,178,3,Suspense,Feminino,Baixa
H. P. Lovecraft,Contos - Volume III,1,1,84,2,1,Suspense,Feminino,Baixa
H. P. Lovecraft,Contos - Volume III,1,1,84,2,1,Suspense,Feminino,Baixa
H. P. Lovecraft,Contos - Volume III,1,1,84,2,1,Suspense,Feminino,Baixa
H. P. Lovecraft,Contos - Volume III,1,1,84,2,1,Suspense,Feminino,Baixa
Franz Kafka,O Processo,1,40,9,1,16,Suspense,Feminino,Baixa
Nikolai Gógol,Contos Góticos Russos,0,2,374,1,1,Suspense,Feminino,Baixa
Victor Hugo,O Homem que Ri,5,2,1,41,169,Suspense,Feminino,Baixa
H. G. Wells,A Guerra dos Mundos,188,4,4,204,3,Suspense,Feminino,Baixa
Charles Dickens,Um Cântico de Natal: e Outras Histórias,5,1,636,77,269,Suspense,Feminino,Baixa
H. P. Lovecraft,O horror bate à porta,0,0,106,5,5,Suspense,Feminino,Baixa
Júlio Verne,Vinte mil léguas submarinas,603,44,10,980,19,Suspense,Feminino,Baixa
Franz Kafka,O Castelo,242,8,2,246,2,Suspense,Feminino,Baixa
