autor,qtd_livros,total_avaliacoes,media_avaliacao
Kristina Ohlsson,3.0,755.0,4.046622516556291
L. Frank Baum,1.0,113.0,3.5
L. J. Smith,3.0,72.0,3.511111111111111
Lars Kepler,2.0,728.0,3.7000000000000006
Laurann Dohner,1.0,1.0,4.4
Leigh Bardugo,1.0,382.0,4.2
Lewis Wallace,1.0,731.0,4.0
Lisa Gardner,2.0,531.0,4.1
Lisa Scottoline,1.0,200.0,3.7
Liv Constantine,1.0,1.0,4.2
Luca D'Andrea,1.0,696.0,3.7
Lucinda Riley,1.0,493.0,4.2
Lucy Foley,4.0,20.0,3.8
Lynda La Plante,1.0,288.0,4.0
Lynda Throsby,1.0,54.0,3.3
M.A. Bennett,1.0,587.0,3.6000000000000005
Machado de Assis,1.0,3.0,3.6
Malin Persson Giolito,1.0,557.0,3.8999999999999995
Margaret Drabble,1.0,2.0,3.0
Mary Higgins Clark,1.0,188.0,3.8999999999999995
Mary Kubica,3.0,640.0,3.58828125
Mary Shelley,2.0,28.0,4.2
Matt Ruff,2.0,1900.0,3.8
Maureen Johnson,3.0,1399.0,3.7601858470335956
Maurice Leblanc,1.0,547.0,4.0
Max Mallmann,1.0,41.0,4.3
Meg Cabot,4.0,81.0,4.014814814814815
Megan Abbott ,1.0,977.0,2.9
Megan Miranda,2.0,1842.0,3.5
Melissa E. Hurst,1.0,184.0,3.9
Michael Crichton,3.0,149.0,3.843624161073826
Michel Bussi,1.0,1.0,4.2
Michelle Hodkin,1.0,2.0,4.1
Mick Finlay,1.0,26.0,3.2
Mindy Mejia,1.0,159.0,4.0
Monica Hesse,1.0,69.0,4.3
Moïra Fowley-Doyle,1.0,1.0,3.6
Nancy Springer,1.0,472.0,3.8
Neil Gaiman,5.0,89.0,4.29438202247191
Niklas Natt och Dag,1.0,156.0,4.2
Nikolai Gógol,1.0,4.0,4.5
Noah Hawley,1.0,330.0,3.4
Patricia Highsmith,1.0,100.0,3.7
Patrick Lee,1.0,75.0,4.1
Paul Auster,1.0,596.0,3.9000000000000004
Paulo Coelho,3.0,18.0,3.5
Penelope Douglas,2.0,590.0,3.8457627118644067
Peter Straub,1.0,1.0,4.1
Philip K. Dick,1.0,831.0,4.1
Pierre Lemaitre,2.0,173.0,3.7254335260115607
R. J. Ellory ,1.0,880.0,4.1
R. L. Stine,3.0,462.0,3.77034632034632
Raphael Draccon,1.0,7.0,4.2
Rebecca James,1.0,3.0,4.0
Rebecca Scherm,1.0,12.0,3.2999999999999994
Richard Dübell,1.0,65.0,3.5
Rick Riordan,3.0,82.0,4.529268292682927
Riley Sager,1.0,222.0,4.2
Rob Reger,2.0,454.0,4.081497797356827
Robert Beatty,1.0,620.0,4.3
Robert Browne,1.0,99.0,3.7
Robert Bryndza,4.0,1385.0,4.21942238267148
Robert Galbraith,2.0,1798.0,4.4
Robert Louis Stevenson,1.0,14.0,3.9
Robert Ludlum,5.0,1746.0,4.189461626575029
Robert Ovies,1.0,184.0,3.7
Robert W. Chambers,2.0,6.0,3.6
Rodrigo de Oliveira,1.0,218.0,4.4
Roger Franchini,1.0,37.0,3.8999999999999995
Rory Power,2.0,1202.0,3.2
Rubem Alves,2.0,648.0,4.1
Rubem Fonseca,1.0,888.0,4.1
Ruth Rendell,1.0,16.0,3.2
Ruth Ware,3.0,732.0,3.5719945355191256
Sandra Brown,4.0,805.0,4.0997515527950315
Sandro Veronesi,1.0,3.0,3.5
Sara Paretsky,1.0,6.0,3.7000000000000006
Sara Shepard,19.0,4751.0,4.077204798989687
Scott McEwen,1.0,93.0,4.4
Scott Westerfeld,1.0,2.0,3.5
Serena Valentino,1.0,1.0,4.0
Sheena Kamal,1.0,72.0,3.2
Silmara Izidoro,3.0,86.0,4.337209302325581
Sir Arthur Conan Doyle,11.0,793.0,4.542749054224465
Sir Walter Scott,1.0,21.0,3.5
Sloane Crosley,1.0,6.0,3.2999999999999994
Sophie Cleverly,1.0,0.0,
Sophie Hannah,4.0,1274.0,3.5917582417582414
Stephen King,15.0,903.0,3.6858250276854925
Stephen Rebello ,1.0,395.0,4.1
Stephenie Meyer,6.0,492.0,3.9
Tana French,2.0,95.0,3.9336842105263163
Tess Gerritsen,1.0,947.0,3.8
Tom Cooper,1.0,11.0,2.8
Tom Perrotta,2.0,1402.0,3.4
Tony Abbott,1.0,24.0,3.7999999999999994
Tony Ferraz,1.0,178.0,3.8999999999999995
Uranio Bonoldi,1.0,187.0,3.3000000000000003
Valerie Martin,1.0,34.0,3.8
Victor Hugo,1.0,115.0,4.4
Wesley Snipes,1.0,37.0,3.5
William Boyd,1.0,6.0,4.3
William Peter Blatty,1.0,684.0,3.1
Zafón,1.0,5.0,4.1
chris priestley,1.0,6.0,4.2
