titulo,autor,editora,media_avaliacao,total_avaliacoes,genero_literario,grau_popularidade
Dôssie Drácula,James Reese,Planeta,3.5,102,Suspense,Baixa
Eu Sei Onde Você Está,Claire Kendal,Intrínseca,3.5,565,Suspense,Baixa
O caso da mansão Deboën,Edgar Cantero,Intrínseca,3.5,497,Suspense,Baixa
Eu Sei Onde Você Está,Claire Kendal,Intrínseca,3.5,565,Suspense,Baixa
O Jogo da Mentira,Ruth Ware,Rocco,3.5,203,Suspense,Baixa
A Mãe Perfeita,Aimee Molloy,HarperCollins,3.5,160,Suspense,Baixa
Inigualável ,Alyson Noël,HarperCollins,3.5,213,Suspense,Baixa
Contos de Fadas Norte-Americanos,L. Frank Baum,Martin,3.5,113,Suspense,Baixa
Argo,Antonio Mendez,Intrínseca,3.5,527,Suspense,Baixa
Contágio,David Koepp,HarperCollins,3.5,82,Suspense,Baixa
A mão que te alimenta,A. J. Rich,Record,3.5,637,Suspense,Baixa
O Caso da Mansão Deboën,Edgar Cantero,Intrínseca,3.5,497,Suspense,Baixa
O Jantar,Herman Koch,Intrínseca,3.4,658,Suspense,Baixa
Querida Filha,Elizabeth Little,Rocco,3.4,52,Suspense,Baixa
O Sequestro,Diane Hoh,Rocco,3.4,56,Suspense,Baixa
Lição de Morte,Diane Hoh,Rocco,3.4,100,Suspense,Baixa
Os deixados para trás,Tom Perrotta,Intrínseca,3.4,701,Suspense,Baixa
Antes da Queda,Noah Hawley,Intrínseca,3.4,330,Suspense,Baixa
A Sombra da Lua,John Sandford,Arqueiro,3.4,354,Suspense,Baixa
Guerreiro Tigre,David Gibbins,Planeta,3.4,71,Suspense,Baixa
Os deixados para trás,Tom Perrotta,Intrínseca,3.4,701,Suspense,Baixa
O Sabá das Feiticeiras,John Updike,Rocco,3.4,51,Suspense,Baixa
A Namorada Perfeita,Karen Hamilton,Rocco,3.4,74,Suspense,Baixa
"Não Chore, Não",Mary Kubica,Planeta,3.3,271,Suspense,Baixa
Acerto de Contas,John Grisham,Arqueiro,3.3,81,Suspense,Baixa
O Manuscrito,Chris Pavone,Arqueiro,3.3,181,Suspense,Baixa
A Contrapartida,Uranio Bonoldi,Valentina,3.3,187,Suspense,Baixa
Uma garota de Muita Sorte,Jessica Knoll,Rocco,3.3,111,Suspense,Baixa
Vingança da Maré,Elizabeth Haynes,Intrínseca,3.3,570,Suspense,Baixa
Catfish,Lynda Throsby,AllBook,3.3,54,Suspense,Baixa
Aqueles Que Perdemos,Sheena Kamal,HarperCollins,3.2,72,Suspense,Baixa
Meninas Selvagens,Rory Power,Galera,3.2,601,Suspense,Baixa
Meninas selvagens,Rory Power,Galera,3.2,601,Suspense,Baixa
Tão Mais Bonita,Cara Hoffman,Intrínseca,3.2,267,Suspense,Baixa
A Nona Configuração,William Peter Blatty,Harper,3.1,684,Suspense,Baixa
Louras Zumbis,Brian James,Galera,3.1,587,Suspense,Baixa
Os Crimes do Mosaico,Giulio Leoni,Planeta,2.9,693,Suspense,Baixa
A Febre,Megan Abbott ,Intrínseca,2.9,977,Suspense,Baixa
